lat;lon;validdate;t_2m:C
-33.857222;151.206776;2024-05-05T03:10:00Z;16.5
-33.859913;151.204127;2024-05-05T03:10:00Z;16.4
-33.859992;151.208322;2024-05-05T03:10:00Z;16.6
-33.861408;151.201688;2024-05-05T03:10:00Z;16.7
-33.869844;151.208285;2024-05-05T03:10:00Z;16.0
-33.869215;151.192363;2024-05-05T03:10:00Z;16.5
-33.86708;151.225997;2024-05-05T03:10:00Z;16.5
-33.871876;151.219222;2024-05-05T03:10:00Z;16.6
-33.871691;151.228288;2024-05-05T03:10:00Z;16.5
-33.875037;151.227656;2024-05-05T03:10:00Z;16.6
-33.878338;151.219225;2024-05-05T03:10:00Z;16.2
-33.881224;151.170998;2024-05-05T03:10:00Z;16.4
-33.877778;151.186238;2024-05-05T03:10:00Z;16.4
-33.880556;151.178333;2024-05-05T03:10:00Z;16.4
-33.879473;151.198435;2024-05-05T03:10:00Z;16.4
-33.881441;151.204452;2024-05-05T03:10:00Z;16.4
-33.886329;151.199821;2024-05-05T03:10:00Z;16.4
-33.889612;151.180099;2024-05-05T03:10:00Z;16.3
-33.884512;151.21003;2024-05-05T03:10:00Z;16.3
-33.884157;151.227277;2024-05-05T03:10:00Z;16.1
-33.897778;151.233889;2024-05-05T03:10:00Z;16.3
-33.893104;151.204029;2024-05-05T03:10:00Z;16.2
-33.890862;151.193216;2024-05-05T03:10:00Z;16.4
-33.896113;151.180189;2024-05-05T03:10:00Z;16.2
-33.895;151.191389;2024-05-05T03:10:00Z;16.4
-33.895833;151.221944;2024-05-05T03:10:00Z;16.2
-33.900276;151.207314;2024-05-05T03:10:00Z;16.3
-33.902172;151.185988;2024-05-05T03:10:00Z;16.4
-33.907662;151.208218;2024-05-05T03:10:00Z;16.3
-33.909157;151.192128;2024-05-05T03:10:00Z;16.5
-33.911469;151.200315;2024-05-05T03:10:00Z;16.3
-33.918586;151.204692;2024-05-05T03:10:00Z;16.3
-33.911124;151.176135;2024-05-05T03:10:00Z;16.4
